Id,sex,age,sibsp,parch,ticket,fare,cabin,embarked
1259,female,29,0,2,2650,15.2458,,C
1260,male,36,0,0,349247,7.8958,,S
1261,female,18,0,0,4138,9.8417,,S
1262,female,63,0,0,4134,9.5875,,S
1263,male,,1,1,A/5. 851,14.5,,S
1264,male,11.5,1,1,A/5. 851,14.5,,S
1265,male,40.5,0,2,A/5. 851,14.5,,S
1266,female,10,0,2,345773,24.15,,S
1267,male,36,1,1,345773,24.15,,S
1268,female,30,1,1,345773,24.15,,S
1269,male,,0,0,345777,9.5,,S
1270,male,33,0,0,345780,9.5,,S
1271,male,28,0,0,345770,9.5,,S
1272,male,28,0,0,345783,9.5,,S
1273,male,47,0,0,345765,9,,S
1274,female,18,2,0,345764,18,,S
1275,male,31,3,0,345763,18,,S
1276,male,16,2,0,345764,18,,S
1277,female,31,1,0,345763,18,,S
1278,male,22,0,0,2658,7.225,,C
1279,male,20,0,0,350416,7.8542,,S
1280,female,14,0,0,350406,7.8542,,S
1281,male,22,0,0,349252,7.8958,,S
1282,male,22,0,0,345767,9,,S
1283,male,,0,0,359309,8.05,,S
1284,male,,0,0,C.A. 49867,7.55,,S
1285,male,,0,0,SOTON/OQ 3101316,8.05,,S
1286,male,32.5,0,0,345775,9.5,,S
1287,female,38,0,0,2688,7.2292,,C
1288,male,51,0,0,347064,7.75,,S
1289,male,18,1,0,3101267,6.4958,,S
1290,male,21,1,0,3101266,6.4958,,S
1291,female,47,1,0,363272,7,,S
1292,male,,0,0,3410,8.7125,,S
1293,male,,0,0,S.O./P.P. 751,7.55,,S
1294,male,,0,0,A/5 2466,8.05,,S
1295,male,28.5,0,0,54636,16.1,,S
1296,male,21,0,0,SOTON/OQ 3101317,7.25,,S
1297,male,27,0,0,315154,8.6625,,S
1298,male,,0,0,A/4. 34244,7.25,,S
1299,male,36,0,0,345771,9.5,,S
1300,male,27,1,0,2659,14.4542,,C
1301,female,15,1,0,2659,14.4542,,C
1302,male,45.5,0,0,2628,7.225,,C
1303,male,,0,0,2647,7.225,,C
1304,male,,0,0,2627,14.4583,,C
1305,female,14.5,1,0,2665,14.4542,,C
1306,female,,1,0,2665,14.4542,,C
1307,male,26.5,0,0,2656,7.225,,C
1308,male,27,0,0,2670,7.225,,C
1309,male,29,0,0,315082,7.875,,S
3000,a,999,999,999,999,999,a,a
